"time","AT","BE","DE","DK","ES","FI","FR","GB","IE","IT","LU","NL","NO","PL","RO","SE"
"2003-02-01 00:00:00",182.33690299999984,375.25631200000026,296.1327270000003,323.9329669999994,396.2815490000002,272.127379,384.0812820000001,411.49602200000015,362.57327099999964,254.834626,349.28059300000024,326.3047180000004,336.78009600000007,193.2314420000001,104.93058500000004,378.1737420000004,
"2003-03-01 00:00:00",137.08949400000012,207.07167600000017,116.83274500000007,117.72297000000025,238.34597800000012,260.29801100000014,249.46158199999996,272.47801200000015,267.4129930000001,196.566174,258.34147200000007,171.0376030000002,227.45403200000027,113.77629400000005,75.7075620000001,149.9350100000001,
"2003-04-01 00:00:00",118.48243499999991,203.44883499999997,149.93108300000014,190.85293600000014,215.73364299999992,389.4591529999998,247.75575500000016,225.93964000000003,213.057876,131.16533399999997,243.72161000000017,172.8228390000002,265.9567720000001,139.36922900000005,113.22855700000012,265.3152219999999,
"2003-05-01 00:00:00",165.0248859999999,234.968882,209.88483500000012,225.73518299999995,333.7875539999995,238.5060950000002,258.5282419999998,244.15230700000006,183.369884,164.98111399999982,305.1674900000001,212.52420999999995,254.93990500000032,189.61255899999986,116.37466700000012,318.1792239999999,
"2003-06-01 00:00:00",106.9308219999999,199.07913599999986,127.63107599999996,148.6104249999997,234.94131799999957,252.77929499999985,212.90166000000013,254.5036819999998,248.51564300000013,108.53578700000006,219.24783699999998,166.496649,241.07868799999966,107.31860800000008,72.36203599999997,249.45192700000004,
"2003-07-01 00:00:00",79.48114399999994,125.01535500000018,137.43357600000004,190.50664,206.31700999999984,178.20560400000002,142.35085800000004,201.90697599999982,174.51175099999975,62.46500899999999,153.738064,119.72175900000009,194.39486100000022,132.54595200000006,82.55877199999983,291.664688,
"2003-08-01 00:00:00",100.14977499999985,136.75409100000007,108.89300100000001,138.94963599999977,224.93257799999967,140.67761600000014,156.34671399999985,210.2745560000002,159.73116899999997,108.21161199999999,170.85312900000002,126.76148599999993,207.54512799999998,114.05140099999993,97.72979200000006,155.7811769999998,
"2003-09-01 00:00:00",85.40326800000011,102.25233299999995,126.675056,174.76235900000003,225.73262299999968,216.68267000000006,123.41637500000004,176.39383899999993,99.15645699999996,84.370419,128.61238799999987,106.89160400000006,239.5293040000002,125.99919899999993,97.82060999999996,214.76211300000006,
"2003-10-01 00:00:00",91.57528499999992,98.29644899999998,109.39506199999995,182.1683170000002,208.38117500000016,279.87470899999965,141.5640290000001,172.84469599999997,132.935284,117.69395199999998,187.19229299999998,99.34721500000006,242.94405399999997,112.04184299999996,76.74748399999996,273.4130809999998,
"2003-11-01 00:00:00",176.13329999999993,282.78665899999953,199.47556999999978,221.4125029999997,269.52885099999963,256.50260199999985,275.45293700000025,308.0289870000002,244.63551499999977,161.32347800000008,303.81586599999963,243.21187099999995,228.30617500000008,166.5582020000001,122.99400399999999,262.98881700000004,
